MIN=0	-10	-10
MAX=640	10	10
SCALE=640	5	5
DEC=1	2	2
DEF="Time" t / s	"Voltage" U_B1 / V	"Voltage" U_A1 / V
0	0,375	1,495
0,1	0,37	1,495
0,2	0,375	1,495
0,3	0,37	1,495
0,4	0,37	1,495
0,501	0,37	1,495
0,601	0,37	1,495
0,701	0,37	1,495
0,801	0,375	1,495
0,901	0,37	1,495
1,001	0,37	1,495
1,114	0,375	1,495
1,2	0,375	1,495
1,3	0,375	1,495
1,401	0,375	1,495
1,501	0,375	1,495
1,601	0,375	1,5
1,701	0,38	1,495
1,8	0,38	1,495
1,9	0,38	1,495
2	0,38	1,495
2,101	0,38	1,5
2,211	0,38	1,5
2,311	0,385	1,495
2,401	0,385	1,5
2,501	0,385	1,5
2,6	0,39	1,5
2,7	0,39	1,5
2,8	0,395	1,5
2,9	0,39	1,505
3,001	0,395	1,505
3,101	0,395	1,505
3,2	0,4	1,505
3,301	0,395	1,505
3,401	0,395	1,505
3,501	0,4	1,51
3,6	0,4	1,51
3,701	0,405	1,515
3,8	0,405	1,51
3,901	0,41	1,51
4,001	0,405	1,515
4,101	0,41	1,515
4,201	0,41	1,515
4,301	0,415	1,52
4,412	0,415	1,52
4,501	0,415	1,52
4,601	0,415	1,525
4,7	0,415	1,525
4,799	0,42	1,52
4,9	0,425	1,525
5,001	0,425	1,525
5,101	0,425	1,53
5,2	0,425	1,53
5,301	0,425	1,53
5,401	0,425	1,53
5,5	0,43	1,53
5,599	0,43	1,53
5,7	0,435	1,53
5,801	0,435	1,535
5,924	0,435	1,535
6	0,435	1,535
6,1	0,435	1,54
6,201	0,44	1,54
6,299	0,44	1,545
6,4	0,445	1,545
6,5	0,44	1,545
6,601	0,445	1,545
6,7	0,445	1,55
6,8	0,445	1,55
6,9	0,445	1,55
7	0,45	1,55
7,101	0,45	1,555
7,2	0,45	1,555
7,3	0,455	1,555
7,4	0,455	1,555
7,5	0,46	1,555
7,607	0,455	1,565
7,7	0,46	1,565
7,801	0,46	1,565
7,9	0,465	1,56
8,001	0,46	1,565
8,101	0,46	1,565
8,201	0,465	1,57
8,314	0,465	1,57
8,4	0,465	1,57
8,5	0,47	1,575
8,599	0,47	1,575
8,701	0,47	1,575
8,8	0,47	1,575
8,9	0,47	1,58
9	0,48	1,58
9,1	0,48	1,585
9,2	0,485	1,58
9,301	0,48	1,58
9,401	0,485	1,59
9,5	0,48	1,59
9,6	0,485	1,59
9,7	0,49	1,59
9,799	0,49	1,59
9,9	0,49	1,59
10	0,49	1,595
10,1	0,49	1,6
10,2	0,49	1,6
10,3	0,495	1,6
10,414	0,495	1,6
10,501	0,495	1,605
10,601	0,5	1,605
10,699	0,5	1,605
10,8	0,5	1,605
10,9	0,505	1,61
11,009	0,505	1,61
11,112	0,505	1,61
11,2	0,505	1,61
11,3	0,51	1,615
11,404	0,51	1,62
11,5	0,51	1,615
11,6	0,51	1,62
11,699	0,515	1,62
11,8	0,515	1,62
11,9	0,515	1,62
12,001	0,52	1,625
12,101	0,52	1,625
12,2	0,525	1,625
12,3	0,52	1,625
12,406	0,525	1,625
12,5	0,525	1,63
12,6	0,53	1,63
12,7	0,525	1,635
12,801	0,53	1,635
12,9	0,53	1,64
13,001	0,53	1,635
13,101	0,53	1,64
13,206	0,535	1,64
13,3	0,535	1,645
13,401	0,54	1,645
13,5	0,54	1,645
13,601	0,54	1,645
13,7	0,545	1,645
13,801	0,54	1,65
13,901	0,545	1,65
14,001	0,545	1,655
14,103	0,55	1,655
14,201	0,545	1,655
14,301	0,545	1,655
14,401	0,55	1,66
14,51	0,565	1,66
14,6	0,55	1,66
14,701	0,555	1,66
14,801	0,555	1,66
14,901	0,555	1,665
15,001	0,56	1,67
15,101	0,56	1,67
15,2	0,565	1,67
15,301	0,565	1,675
15,435	0,56	1,675
15,5	0,565	1,67
15,6	0,565	1,675
15,701	0,565	1,675
15,8	0,57	1,68
15,901	0,57	1,68
16,001	0,57	1,68
16,101	0,57	1,685
16,201	0,575	1,68
16,301	0,575	1,685
16,401	0,58	1,69
16,501	0,58	1,69
16,601	0,575	1,69
16,701	0,58	1,695
16,802	0,58	1,69
16,901	0,58	1,695
17,001	0,585	1,695
17,103	0,585	1,695
17,201	0,59	1,695
17,301	0,59	1,7
17,401	0,59	1,7
17,501	0,59	1,7
17,6	0,595	1,7
17,701	0,595	1,705
17,801	0,595	1,705
17,901	0,6	1,71
18,001	0,6	1,71
18,101	0,6	1,715
18,201	0,595	1,71
18,301	0,6	1,71
18,401	0,605	1,71
18,501	0,605	1,715
18,601	0,61	1,72
18,701	0,61	1,72
18,801	0,61	1,72
18,901	0,61	1,72
19,001	0,615	1,72
19,101	0,615	1,72
19,201	0,615	1,725
19,301	0,62	1,725
19,401	0,615	1,73
19,501	0,62	1,725
19,601	0,615	1,73
19,7	0,625	1,73
19,8	0,625	1,73
19,9	0,625	1,735
20	0,625	1,735
20,101	0,625	1,74
20,2	0,625	1,74
20,301	0,625	1,74
20,401	0,63	1,74
20,501	0,63	1,745
20,604	0,63	1,745
20,7	0,63	1,75
20,801	0,64	1,745
20,901	0,635	1,745
21,001	0,64	1,745
21,101	0,64	1,75
21,201	0,64	1,75
21,301	0,64	1,75
21,401	0,645	1,75
21,501	0,645	1,755
21,6	0,645	1,755
21,703	0,645	1,76
21,801	0,65	1,76
21,901	0,65	1,755
22,001	0,655	1,76
22,101	0,65	1,76
22,201	0,65	1,76
22,301	0,655	1,765
22,4	0,66	1,765
22,501	0,655	1,765
22,6	0,66	1,765
22,7	0,665	1,765
22,801	0,66	1,77
22,901	0,66	1,77
23,001	0,665	1,775
23,101	0,665	1,775
23,201	0,67	1,775
23,3	0,67	1,775
23,401	0,67	1,78
23,5	0,67	1,78
23,601	0,67	1,775
23,701	0,675	1,78
23,801	0,675	1,785
23,9	0,675	1,78
24,001	0,68	1,79
24,1	0,68	1,785
24,201	0,685	1,785
24,301	0,68	1,79
24,401	0,685	1,79
24,5	0,68	1,79
24,601	0,685	1,79
24,703	0,685	1,79
24,808	0,685	1,795
24,901	0,69	1,795
25	0,69	1,8
25,101	0,69	1,795
25,2	0,69	1,8
25,301	0,695	1,795
25,401	0,695	1,8
25,501	0,695	1,8
25,601	0,7	1,8
25,701	0,7	1,805
25,801	0,705	1,805
25,9	0,705	1,805
26,001	0,7	1,805
26,1	0,705	1,805
26,201	0,705	1,81
26,301	0,71	1,81
26,4	0,705	1,81
26,501	0,71	1,815
26,601	0,715	1,815
26,701	0,71	1,81
26,8	0,715	1,815
26,9	0,715	1,82
27	0,715	1,815
27,099	0,72	1,815
27,201	0,72	1,82
27,301	0,72	1,82
27,404	0,725	1,82
27,501	0,725	1,82
27,601	0,725	1,82
27,701	0,725	1,825
27,8	0,725	1,825
27,901	0,73	1,825
28,001	0,73	1,825
28,103	0,73	1,825
28,201	0,73	1,83
28,301	0,74	1,83
28,401	0,74	1,83
28,5	0,74	1,83
28,599	0,74	1,83
28,7	0,74	1,83
28,801	0,74	1,83
28,9	0,74	1,83
29,001	0,74	1,835
29,1	0,745	1,835
29,201	0,745	1,835
29,3	0,75	1,835
29,401	0,745	1,84
29,501	0,745	1,835
29,6	0,75	1,84
29,701	0,755	1,84
29,801	0,755	1,84
29,9	0,75	1,84
30,001	0,76	1,845
30,101	0,755	1,845
30,201	0,755	1,845
30,301	0,76	1,85
30,401	0,76	1,845
30,505	0,76	1,845
30,601	0,76	1,845
30,701	0,76	1,85
30,801	0,765	1,845
30,901	0,77	1,85
31,001	0,765	1,85
31,101	0,77	1,85
31,201	0,77	1,845
31,301	0,77	1,85
31,401	0,77	1,85
31,501	0,775	1,85
31,601	0,775	1,85
