MIN=0	-1000
MAX=20	1000
SCALE=20	500
DEC=1	0
DEF="Time" t / s	"Magn. flux density" B_A1 / mT
0	1
0,1	1
0,201	1
0,301	1
0,4	1
0,5	1
0,6	1
0,7	1
0,801	1
0,901	1
1	1
1,1	1
1,201	1
1,3	1
1,4	1
1,5	1
1,6	1
1,7	1
1,8	1
1,9	1
2	3
2,1	4,5
2,2	6
2,3	6,5
2,4	8
2,501	9
2,601	10,5
2,7	12
2,8	15
2,9	17
3	17
3,101	17,5
3,2	18
3,3	20
3,4	23
3,5	25,5
3,6	28
3,7	31,5
3,8	32,5
3,9	33
4	37
4,1	39,5
4,2	41
4,3	44,5
4,4	49
4,5	51
4,6	54
4,7	59
4,8	63,5
4,9	67,5
5	72,5
5,1	77
5,2	81
5,3	82,5
5,4	89
5,5	90,5
5,6	97,5
5,701	102
5,801	107
5,9	112
6	118,5
6,101	123,5
6,2	128
6,301	133
6,4	135,5
6,501	141
6,6	145
6,7	149,5
6,801	154,5
6,9	159
7	163,5
7,1	166,5
7,201	169
7,301	175
7,4	180,5
7,5	187
7,601	193,5
7,701	197
7,8	200
7,901	205
8	210
8,1	212
8,2	212
8,301	214
8,417	213
8,5	213
8,6	213
8,7	213
8,801	213
8,901	213
9,001	213
9,1	213
9,2	213
9,301	213
9,413	213
9,5	213
9,601	213
9,701	213
9,801	212
9,9	215
10,001	214,5
10,1	213,5
10,202	210
10,3	213,5
10,401	213,5
10,501	213
10,601	210
10,701	208
10,801	205,5
10,901	204,5
11	203
11,101	201,5
11,201	200
11,3	197,5
11,401	196
11,501	194
11,601	191
11,701	188,5
11,801	184,5
11,901	182
12,001	179,5
12,101	175
12,201	172
12,301	169
12,4	166
12,501	162,5
12,601	158
12,701	154
12,8	149
12,901	145,5
13,001	141,5
13,101	139
13,201	134,5
13,3	129
13,401	125
13,501	121
13,6	117,5
13,701	115
13,8	110,5
13,901	109,5
14,001	106
14,101	102,5
14,201	92,5
14,3	97
14,4	90
14,5	89,5
14,6	85
14,7	80,5
14,8	77
14,9	74,5
15	71,5
15,1	67
15,2	63,5
15,3	57
15,401	52,5
15,5	47,5
15,6	40,5
15,7	35
15,8	31,5
15,9	26
16	19
16,1	14,5
16,2	10,5
16,3	7,5
16,4	3,5
16,5	1
16,6	1
16,7	1
16,8	1
16,9	1
17	1
17,1	1
17,2	1
17,3	1
17,4	1
17,5	1
17,6	1
17,7	1
17,8	1
17,9	1
18	1
