Time,Channel A,Channel B
(ms),(V),(V)

-10.00097874,0.20998660,0.02051032
-10.00046674,0.20021980,0.01855695
-9.99995474,0.19533630,0.01562691
-9.99944274,0.20998660,0.01758027
-9.99893074,0.22463680,0.02051032
-9.99841874,0.20998660,0.01953363
-9.99790674,0.21487000,0.01758027
-9.99739474,0.20510320,0.01465023
-9.99688274,0.20998660,0.01855695
-9.99637074,0.20998660,0.01953363
-9.99585874,0.19533630,0.01562691
-9.99534674,0.19045290,0.01758027
-9.99483474,0.21975340,0.01562691
-9.99432274,0.18556950,0.01562691
-9.99381074,0.20021980,0.01758027
-9.99329874,0.20510320,0.01660359
-9.99278674,0.20510320,0.01855695
-9.99227474,0.21487000,0.01367354
-9.99176274,0.18068610,0.01660359
-9.99125074,0.20998660,0.02051032
-9.99073874,0.19533630,0.01855695
-9.99022674,0.18556950,0.01465023
-9.98971474,0.18068610,0.01660359
-9.98920274,0.20510320,0.01562691
-9.98869074,0.22463680,0.01758027
-9.98817874,0.21975340,0.01660359
-9.98766674,0.21487000,0.01855695
-9.98715474,0.19533630,0.01758027
-9.98664274,0.21487000,0.01465023
-9.98613074,0.20998660,0.01758027
-9.98561874,0.20510320,0.01660359
-9.98510674,0.20021980,0.01855695
-9.98459474,0.20998660,0.01855695
-9.98408274,0.20510320,0.01465023
-9.98357074,0.22463680,0.01953363
-9.98305874,0.19533630,0.01465023
-9.98254674,0.20998660,0.01855695
-9.98203474,0.20998660,0.01758027
-9.98152274,0.21487000,0.01758027
-9.98101074,0.20998660,0.02051032
-9.98049874,0.18556950,0.02148700
-9.97998674,0.20998660,0.01855695
-9.97947474,0.20021980,0.01953363
-9.97896274,0.20510320,0.01855695
-9.97845074,0.20510320,0.02051032
-9.97793874,0.18556950,0.01855695
-9.97742674,0.20510320,0.01855695
-9.97691474,0.19045290,0.01758027
-9.97640274,0.19045290,0.01660359
-9.97589074,0.19045290,0.02441704
-9.97537874,0.20021980,0.01855695
-9.97486674,0.19533630,0.01855695
-9.97435474,0.19045290,0.02051032
-9.97384274,0.20021980,0.02246368
-9.97333074,0.19533630,0.02148700
-9.97281874,0.19045290,0.01953363
-9.97230674,0.17580270,0.02051032
-9.97179474,0.18068610,0.02148700
-9.97128274,0.18068610,0.01855695
-9.97077074,0.19533630,0.01855695
-9.97025874,0.19045290,0.01855695
-9.96974674,0.17091930,0.01465023
-9.96923474,0.20021980,0.01758027
-9.96872274,0.20021980,0.01953363
-9.96821074,0.18068610,0.02051032
-9.96769874,0.19533630,0.01660359
-9.96718674,0.20998660,0.01855695
-9.96667474,0.18068610,0.02246368
-9.96616274,0.20021980,0.02051032
-9.96565074,0.19533630,0.02051032
-9.96513874,0.19533630,0.01855695
-9.96462674,0.20998660,0.01758027
-9.96411474,0.19045290,0.01953363
-9.96360274,0.22463680,0.02148700
-9.96309074,0.21487000,0.01953363
-9.96257874,0.19533630,0.02051032
-9.96206674,0.20510320,0.02148700
-9.96155474,0.21487000,0.02148700
-9.96104274,0.20021980,0.02051032
-9.96053074,0.18556950,0.02539372
-9.96001874,0.20021980,0.02246368
-9.95950674,0.19533630,0.02051032
-9.95899474,0.19533630,0.02148700
-9.95848274,0.20998660,0.02051032
-9.95797074,0.19533630,0.02246368
-9.95745874,0.21975340,0.02051032
-9.95694674,0.20021980,0.02246368
-9.95643474,0.19533630,0.02246368
-9.95592274,0.20510320,0.01953363
-9.95541074,0.20510320,0.02441704
-9.95489874,0.18556950,0.01855695
-9.95438674,0.17091930,0.01855695
-9.95387474,0.19045290,0.01855695
-9.95336274,0.21487000,0.01953363
-9.95285074,0.19533630,0.02246368
-9.95233874,0.20510320,0.01758027
-9.95182674,0.20998660,0.01562691
-9.95131474,0.18556950,0.01855695
-9.95080274,0.20998660,0.02051032
-9.95029074,0.20021980,0.02051032
-9.94977874,0.20021980,0.01758027
-9.94926674,0.19045290,0.01855695
-9.94875474,0.20021980,0.01562691
-9.94824274,0.20021980,0.01660359
-9.94773074,0.19533630,0.01953363
-9.94721874,0.19045290,0.01855695
-9.94670674,0.19533630,0.01855695
-9.94619474,0.19533630,0.01953363
-9.94568274,0.20021980,0.01660359
-9.94517074,0.18556950,0.01953363
-9.94465874,0.19045290,0.01758027
-9.94414674,0.18556950,0.01758027
-9.94363474,0.19533630,0.01758027
-9.94312274,0.20998660,0.01758027
-9.94261074,0.20998660,0.02148700
-9.94209874,0.20510320,0.01758027
-9.94158674,0.20998660,0.01465023
-9.94107474,0.20021980,0.01660359
-9.94056274,0.20021980,0.01953363
-9.94005074,0.20021980,0.01953363
