Time,Channel A,Channel B
(ms),(V),(V)

-9.66981173,0.23928700,0.01855695
-9.66424373,0.20998660,0.01465023
-9.65867573,0.21975340,0.01953363
-9.65310773,0.20510320,0.01855695
-9.64753973,0.20021980,0.01953363
-9.64197173,0.22952020,0.01953363
-9.63640373,0.21487000,0.02246368
-9.63083573,0.19533630,0.02344036
-9.62526773,0.20510320,0.02441704
-9.61969973,0.19533630,0.02148700
-9.61413173,0.23928700,0.02344036
-9.60856373,0.22463680,0.02441704
-9.60299573,0.21975340,0.02441704
-9.59742773,0.22463680,0.02441704
-9.59185973,0.21975340,0.01855695
-9.58629173,0.21975340,0.01562691
-9.58072373,0.23440360,0.01953363
-9.57515573,0.20510320,0.02246368
-9.56958773,0.20998660,0.02148700
-9.56401973,0.20998660,0.02051032
-9.55845173,0.20998660,0.01855695
-9.55288373,0.20998660,0.01562691
-9.54731573,0.21975340,0.01855695
-9.54174773,0.21487000,0.01660359
-9.53617973,0.22463680,0.01855695
-9.53061173,0.25393720,0.02051032
-9.52504373,0.20510320,0.01953363
-9.51947573,0.20021980,0.01855695
-9.51390773,0.20021980,0.01758027
-9.50833973,0.19533630,0.02051032
-9.50277173,0.20998660,0.01660359
-9.49720373,0.22463680,0.02051032
-9.49163573,0.20998660,0.02637041
-9.48606773,0.22952020,0.02246368
-9.48049973,0.22952020,0.01953363
-9.47493173,0.21487000,0.02148700
-9.46936373,0.21487000,0.02344036
-9.46379573,0.23440360,0.02539372
-9.45822773,0.21975340,0.01855695
-9.45265973,0.22952020,0.01953363
-9.44709173,0.20021980,0.01855695
-9.44152373,0.22952020,0.01562691
-9.43595573,0.19533630,0.01855695
-9.43038774,0.20510320,0.01562691
-9.42481974,0.20998660,0.01660359
-9.41925174,0.20510320,0.02246368
-9.41368374,0.19533630,0.02441704
-9.40811574,0.20021980,0.02051032
-9.40254774,0.22463680,0.01758027
-9.39697974,0.20998660,0.02246368
-9.39141174,0.22952020,0.02051032
-9.38584374,0.20998660,0.01953363
-9.38027574,0.21487000,0.01855695
-9.37470774,0.21487000,0.02051032
-9.36913974,0.21975340,0.01562691
-9.36357174,0.21487000,0.02051032
-9.35800374,0.21487000,0.02148700
-9.35243574,0.20510320,0.02539372
-9.34686774,0.21975340,0.02148700
-9.34129974,0.18556950,0.02148700
-9.33573174,0.20021980,0.02148700
-9.33016374,0.20998660,0.02246368
-9.32459574,0.23440360,0.02441704
-9.31902774,0.22952020,0.01855695
-9.31345974,0.20510320,0.01953363
-9.30789174,0.19533630,0.01855695
-9.30232374,0.20021980,0.01953363
-9.29675574,0.19533630,0.02148700
-9.29118774,0.20510320,0.01953363
-9.28561974,0.22463680,0.01953363
-9.28005174,0.21487000,0.02148700
-9.27448374,0.22952020,0.02051032
-9.26891574,0.22463680,0.02344036
-9.26334774,0.22952020,0.02051032
-9.25777974,0.23928700,0.01953363
-9.25221174,0.22952020,0.02441704
-9.24664374,0.21487000,0.02051032
-9.24107574,0.22463680,0.02148700
-9.23550774,0.20998660,0.02051032
-9.22993974,0.20510320,0.01953363
-9.22437174,0.20510320,0.02051032
-9.21880374,0.19533630,0.02148700
-9.21323574,0.20510320,0.02344036
-9.20766774,0.19533630,0.01855695
-9.20209974,0.19533630,0.01758027
-9.19653174,0.19533630,0.01855695
-9.19096374,0.20021980,0.01660359
-9.18539574,0.20998660,0.02051032
-9.17982774,0.21487000,0.01660359
-9.17425975,0.20510320,0.01855695
-9.16869175,0.22952020,0.02344036
-9.16312375,0.22952020,0.02246368
-9.15755575,0.20021980,0.02051032
-9.15198775,0.20021980,0.01953363
-9.14641975,0.19045290,0.02148700
-9.14085175,0.20510320,0.01758027
-9.13528375,0.21487000,0.02148700
-9.12971575,0.20021980,0.02246368
-9.12414775,0.18556950,0.02051032
-9.11857975,0.20021980,0.01953363
-9.11301175,0.19533630,0.01953363
-9.10744375,0.20021980,0.01562691
-9.10187575,0.19533630,0.02051032
-9.09630775,0.21487000,0.02051032
-9.09073975,0.19533630,0.01758027
-9.08517175,0.20998660,0.02148700
-9.07960375,0.20021980,0.02051032
-9.07403575,0.18556950,0.02539372
-9.06846775,0.20510320,0.02148700
-9.06289975,0.20021980,0.01855695
-9.05733175,0.20510320,0.02246368
-9.05176375,0.19533630,0.02441704
-9.04619575,0.21975340,0.02832377
-9.04062775,0.20021980,0.02051032
-9.03505975,0.19045290,0.01855695
-9.02949175,0.22463680,0.01953363
-9.02392375,0.22952020,0.02246368
-9.01835575,0.21487000,0.02246368
-9.01278775,0.20998660,0.02051032
-9.00721975,0.20998660,0.01855695
