Time,Channel A,Channel B
(ms),(V),(V)

-9.66980471,0.21487000,0.01953363
-9.66423671,0.20998660,0.02441704
-9.65866871,0.22952020,0.01465023
-9.65310071,0.20021980,0.01758027
-9.64753271,0.21487000,0.01562691
-9.64196471,0.21487000,0.01953363
-9.63639671,0.21975340,0.02246368
-9.63082871,0.23928700,0.01953363
-9.62526071,0.21487000,0.01855695
-9.61969272,0.20021980,0.01855695
-9.61412472,0.19533630,0.01953363
-9.60855672,0.20510320,0.02246368
-9.60298872,0.19533630,0.01758027
-9.59742072,0.21975340,0.01758027
-9.59185272,0.22952020,0.02148700
-9.58628472,0.22952020,0.02051032
-9.58071672,0.20998660,0.02734709
-9.57514872,0.20998660,0.02246368
-9.56958072,0.23440360,0.01855695
-9.56401272,0.22463680,0.02148700
-9.55844472,0.22952020,0.01855695
-9.55287672,0.22952020,0.02051032
-9.54730872,0.20021980,0.01562691
-9.54174072,0.22463680,0.01758027
-9.53617272,0.21487000,0.01758027
-9.53060472,0.21975340,0.01953363
-9.52503672,0.20998660,0.02344036
-9.51946872,0.21975340,0.01855695
-9.51390072,0.22952020,0.01562691
-9.50833272,0.22463680,0.01758027
-9.50276472,0.21975340,0.01953363
-9.49719672,0.21975340,0.01855695
-9.49162872,0.18556950,0.01953363
-9.48606072,0.22463680,0.01953363
-9.48049272,0.20998660,0.01855695
-9.47492472,0.19045290,0.02148700
-9.46935672,0.20021980,0.02246368
-9.46378872,0.21975340,0.01855695
-9.45822072,0.19045290,0.01953363
-9.45265272,0.20021980,0.01953363
-9.44708472,0.22952020,0.01953363
-9.44151672,0.21975340,0.02246368
-9.43594872,0.23440360,0.01758027
-9.43038072,0.24417040,0.02051032
-9.42481272,0.20998660,0.01855695
-9.41924472,0.21975340,0.01758027
-9.41367672,0.22952020,0.02148700
-9.40810872,0.20998660,0.01660359
-9.40254072,0.22463680,0.01562691
-9.39697272,0.20510320,0.01855695
-9.39140472,0.20998660,0.02051032
-9.38583672,0.21487000,0.02246368
-9.38026872,0.22463680,0.02148700
-9.37470072,0.21975340,0.02051032
-9.36913273,0.21487000,0.02441704
-9.36356473,0.20998660,0.02148700
-9.35799673,0.22463680,0.02539372
-9.35242873,0.20998660,0.01855695
-9.34686073,0.21975340,0.02148700
-9.34129273,0.20998660,0.02051032
-9.33572473,0.20021980,0.02148700
-9.33015673,0.20998660,0.02637041
-9.32458873,0.21487000,0.01953363
-9.31902073,0.20510320,0.02051032
-9.31345273,0.20510320,0.01855695
-9.30788473,0.19533630,0.01855695
-9.30231673,0.20510320,0.02051032
-9.29674873,0.19045290,0.01660359
-9.29118073,0.21975340,0.01758027
-9.28561273,0.20998660,0.01855695
-9.28004473,0.23440360,0.01758027
-9.27447673,0.21487000,0.02148700
-9.26890873,0.20998660,0.01953363
-9.26334073,0.22952020,0.01855695
-9.25777273,0.21487000,0.01953363
-9.25220473,0.21975340,0.01758027
-9.24663673,0.23928700,0.02051032
-9.24106873,0.21487000,0.01855695
-9.23550073,0.23440360,0.01855695
-9.22993273,0.20510320,0.01660359
-9.22436473,0.21975340,0.02246368
-9.21879673,0.24905380,0.02734709
-9.21322873,0.20510320,0.02246368
-9.20766073,0.21487000,0.01855695
-9.20209273,0.21487000,0.02148700
-9.19652473,0.19533630,0.02344036
-9.19095673,0.19533630,0.02441704
-9.18538873,0.19045290,0.01953363
-9.17982073,0.20510320,0.01855695
-9.17425273,0.19045290,0.01855695
-9.16868473,0.18556950,0.01953363
-9.16311673,0.20510320,0.01953363
-9.15754873,0.20510320,0.02051032
-9.15198073,0.20998660,0.02051032
-9.14641273,0.21487000,0.01953363
-9.14084473,0.20998660,0.01660359
-9.13527673,0.21487000,0.02637041
-9.12970873,0.22952020,0.02344036
-9.12414073,0.21975340,0.02344036
-9.11857274,0.20998660,0.02051032
-9.11300474,0.20998660,0.02148700
-9.10743674,0.22463680,0.02051032
-9.10186874,0.20021980,0.02148700
-9.09630074,0.20510320,0.02051032
-9.09073274,0.21487000,0.02148700
-9.08516474,0.20021980,0.02051032
-9.07959674,0.20998660,0.02539372
-9.07402874,0.21975340,0.02051032
-9.06846074,0.22463680,0.02051032
-9.06289274,0.20998660,0.02441704
-9.05732474,0.17580270,0.02246368
-9.05175674,0.21487000,0.02441704
-9.04618874,0.21487000,0.02148700
-9.04062074,0.21487000,0.01758027
-9.03505274,0.20510320,0.01758027
-9.02948474,0.20510320,0.01562691
-9.02391674,0.20021980,0.01660359
-9.01834874,0.19045290,0.01269686
-9.01278074,0.22463680,0.01562691
-9.00721274,0.22463680,0.01367354
