Frequency,Channel A,Channel B
(MHz),(dBu),(dBu)

0.00000000,11.13972000,-48.99700000
0.00047684,3.15962400,-53.19592000
0.00095367,-3.47651200,-60.56095000
0.00143051,-2.25328200,-61.74143000
0.00190735,-10.29119000,-67.03708000
0.00238419,-24.94429000,-58.63828000
0.00286102,-15.13473000,-59.39707000
0.00333786,-17.38770000,-58.54420000
0.00381470,-25.91613000,-63.69619000
0.00429153,-23.71391000,-65.58602000
0.00476837,-22.17424000,-60.63020000
0.00524521,-25.02449000,-74.52734000
0.00572205,-27.69358000,-61.55531000
0.00619888,-25.41009000,-59.62651000
0.00667572,-26.99834000,-64.87936000
0.00715256,-29.17747000,-73.02367000
0.00762939,-29.00811000,-67.23010000
0.00810623,-27.81611000,-64.83613000
0.00858307,-29.97617000,-67.35358000
0.00905991,-31.14278000,-68.79211000
0.00953674,-32.17628000,-63.24628000
0.01001358,-32.56467000,-61.59376000
0.01049042,-31.61032000,-64.42317000
0.01096725,-31.87151000,-68.07477000
0.01144409,-33.56610000,-61.53008000
0.01192093,-33.20141000,-63.66123000
0.01239777,-33.73016000,-68.24806000
0.01287460,-35.04553000,-67.67303000
0.01335144,-36.39610000,-66.46049000
0.01382828,-35.12989000,-63.60962000
0.01430511,-34.09636000,-73.95102000
0.01478195,-39.73945000,-70.71329000
0.01525879,-36.05829000,-63.82127000
0.01573563,-34.37148000,-69.47118000
0.01621246,-36.70868000,-67.05538000
0.01668930,-39.07047000,-62.08931000
0.01716614,-37.03189000,-103.14070000
0.01764297,-38.77630000,-64.81084000
0.01811981,-39.03230000,-73.23378000
0.01859665,-39.58320000,-64.43997000
0.01907349,-39.05216000,-66.92221000
0.01955032,-40.10658000,-64.68429000
0.02002716,-41.79219000,-62.86330000
0.02050400,-40.41289000,-75.51802000
0.02098083,-41.75300000,-65.11172000
0.02145767,-38.15170000,-66.58749000
0.02193451,-41.18607000,-71.04921000
0.02241135,-41.19992000,-67.05591000
0.02288818,-40.56011000,-70.14612000
0.02336502,-43.28066000,-72.19947000
0.02384186,-43.60134000,-66.38364000
0.02431870,-40.91923000,-65.00356000
0.02479553,-41.90138000,-85.32520000
0.02527237,-47.96672000,-66.56850000
0.02574921,-41.35477000,-68.88163000
0.02622604,-42.62459000,-76.66158000
0.02670288,-43.92896000,-71.03265000
0.02717972,-46.08294000,-76.28229000
0.02765656,-43.88641000,-66.71067000
0.02813339,-42.76844000,-70.68103000
0.02861023,-45.07908000,-76.43949000
0.02908707,-47.57934000,-69.87589000
0.02956390,-43.57399000,-71.75251000
0.03004074,-45.71724000,-79.10789000
0.03051758,-44.59143000,-73.73347000
0.03099442,-45.37045000,-68.60572000
0.03147125,-47.87578000,-65.63658000
0.03194809,-47.03567000,-73.33012000
0.03242493,-44.35997000,-70.11855000
0.03290176,-45.45227000,-76.89262000
0.03337860,-48.52066000,-65.89792000
0.03385544,-45.72837000,-68.52330000
0.03433228,-48.46540000,-65.65838000
0.03480911,-47.54931000,-65.32161000
0.03528595,-44.61266000,-71.47271000
0.03576279,-54.61230000,-78.91408000
0.03623962,-46.25874000,-75.84009000
0.03671646,-45.45424000,-72.02460000
0.03719330,-48.44105000,-73.63795000
0.03767014,-49.34908000,-71.02098000
0.03814697,-49.23849000,-68.22685000
0.03862381,-49.36482000,-74.83595000
0.03910065,-46.45145000,-87.99509000
0.03957748,-51.02207000,-69.50580000
0.04005432,-50.10760000,-66.95060000
0.04053116,-45.60395000,-72.31034000
0.04100800,-49.46605000,-81.49955000
0.04148483,-51.07008000,-71.18225000
0.04196167,-48.96246000,-70.79736000
0.04243851,-51.02068000,-80.71948000
0.04291534,-54.40928000,-72.48989000
0.04339218,-50.06344000,-82.21200000
0.04386902,-48.21717000,-76.27162000
0.04434586,-51.55254000,-76.41211000
0.04482269,-54.90131000,-71.02683000
0.04529953,-48.98753000,-75.52841000
0.04577637,-56.47831000,-77.53900000
0.04625320,-49.20103000,-71.03885000
0.04673004,-52.95957000,-77.66380000
0.04720688,-52.71200000,-74.23032000
0.04768372,-55.01176000,-73.68066000
0.04816055,-52.21931000,-69.89373000
0.04863739,-49.76985000,-74.52477000
0.04911423,-61.01441000,-74.69377000
0.04959106,-51.10117000,-74.11452000
0.05006790,-48.78456000,-73.65508000
0.05054474,-49.80574000,-72.50940000
0.05102158,-49.56046000,-89.64122000
0.05149841,-54.59532000,-84.69565000
0.05197525,-55.28197000,-71.04446000
0.05245209,-52.66851000,-73.61353000
0.05292892,-47.15523000,-75.56594000
0.05340576,-50.17789000,-69.21024000
0.05388260,-66.68377000,-75.19043000
0.05435944,-49.69353000,-91.88753000
0.05483627,-50.40624000,-73.53918000
0.05531311,-57.28678000,-68.71219000
0.05578995,-53.46897000,-73.31333000
0.05626678,-70.52346000,-87.81313000
0.05674362,-51.14954000,-73.07073000
0.05722046,-56.26558000,-70.57550000
0.05769730,-54.50710000,-75.61237000
0.05817413,-54.48428000,-79.28327000
0.05865097,-51.64499000,-72.09472000
0.05912781,-59.82817000,-98.29469000
0.05960464,-53.93302000,-73.00079000
0.06008148,-58.31561000,-75.11995000
0.06055832,-49.21642000,-89.47673000
0.06103516,-50.54951000,-75.78802000
0.06151199,-63.82892000,-84.95419000
0.06198883,-53.20362000,-72.16804000
0.06246567,-59.05796000,-71.40273000
0.06294250,-54.41910000,-90.32490000
0.06341934,-54.04096000,-83.44044000
0.06389618,-57.22420000,-76.37666000
0.06437302,-55.31809000,-71.30223000
0.06484985,-50.87553000,-75.09992000
0.06532669,-53.70362000,-75.82289000
0.06580353,-69.98257000,-86.56363000
0.06628036,-52.43468000,-70.21098000
0.06675720,-52.16904000,-72.61460000
0.06723404,-59.72235000,-77.49812000
0.06771088,-55.24497000,-79.17733000
0.06818771,-56.62732000,-77.05729000
0.06866455,-59.33637000,-81.58870000
0.06914139,-55.59663000,-78.32328000
0.06961823,-56.68244000,-91.69808000
0.07009506,-60.50919000,-83.52933000
0.07057190,-54.00400000,-73.63467000
0.07104874,-53.82328000,-73.00256000
0.07152557,-67.73164000,-74.81435000
0.07200241,-52.67552000,-75.48616000
0.07247925,-53.70194000,-81.98149000
0.07295609,-62.04188000,-77.65208000
0.07343292,-51.90022000,-82.93278000
0.07390976,-58.70703000,-86.78521000
0.07438660,-59.48857000,-76.62727000
0.07486343,-58.89359000,-79.51822000
0.07534027,-58.99828000,-78.17208000
0.07581711,-62.82321000,-75.71541000
0.07629395,-54.05064000,-76.83178000
0.07677078,-53.13103000,-76.83545000
0.07724762,-61.81095000,-85.01735000
0.07772446,-60.76330000,-81.65672000
0.07820129,-55.35481000,-83.82024000
0.07867813,-55.57409000,-73.43256000
0.07915497,-60.50444000,-79.20795000
0.07963181,-58.47078000,-76.22621000
0.08010864,-60.59377000,-74.29495000
0.08058548,-57.37077000,-86.28719000
0.08106232,-57.45715000,-91.53889000
0.08153915,-59.86395000,-80.17098000
