Time,Channel A,Channel B
(ms),(V),(V)

-9.97389450,0.16603590,-0.00146502
-9.97338250,0.17580270,0.00097668
-9.97287050,0.19533630,0.00244170
-9.97235850,0.14650230,-0.00048834
-9.97184650,0.16603590,0.00048834
-9.97133450,0.19533630,0.00000000
-9.97082250,0.17580270,0.00048834
-9.97031050,0.17580270,0.00293005
-9.96979850,0.15626910,0.00195336
-9.96928650,0.16603590,0.00195336
-9.96877450,0.18556950,0.00195336
-9.96826250,0.18556950,0.00146502
-9.96775050,0.15626910,0.00293005
-9.96723850,0.17580270,0.00293005
-9.96672650,0.18556950,0.00195336
-9.96621450,0.18556950,0.00146502
-9.96570250,0.19533630,0.00341839
-9.96519050,0.20510320,0.00439507
-9.96467850,0.16603590,0.00390673
-9.96416650,0.18556950,0.00244170
-9.96365450,0.18556950,0.00293005
-9.96314250,0.20510320,0.00439507
-9.96263050,0.21487000,0.00390673
-9.96211850,0.19533630,0.00244170
-9.96160650,0.17580270,0.00195336
-9.96109450,0.18556950,0.00146502
-9.96058250,0.18556950,0.00097668
-9.96007050,0.18556950,0.00293005
-9.95955850,0.18556950,0.00244170
-9.95904650,0.18556950,0.00000000
-9.95853450,0.18556950,0.00000000
-9.95802250,0.16603590,0.00000000
-9.95751050,0.19533630,0.00195336
-9.95699850,0.19533630,0.00048834
-9.95648650,0.18556950,0.00146502
-9.95597450,0.18556950,0.00195336
-9.95546250,0.16603590,0.00244170
-9.95495050,0.17580270,0.00195336
-9.95443850,0.20510320,0.00293005
-9.95392650,0.18556950,0.00048834
-9.95341450,0.17580270,0.00293005
-9.95290250,0.18556950,0.00146502
-9.95239050,0.18556950,0.00341839
-9.95187850,0.19533630,0.00195336
-9.95136650,0.18556950,0.00195336
-9.95085450,0.18556950,0.00048834
-9.95034250,0.17580270,0.00097668
-9.94983050,0.15626910,0.00195336
-9.94931850,0.14650230,0.00048834
-9.94880650,0.16603590,0.00048834
-9.94829450,0.17580270,-0.00097668
-9.94778250,0.16603590,0.00146502
-9.94727050,0.17580270,0.00293005
-9.94675850,0.14650230,0.00097668
-9.94624650,0.14650230,0.00146502
-9.94573450,0.17580270,0.00097668
-9.94522250,0.18556950,0.00048834
-9.94471050,0.15626910,0.00097668
-9.94419850,0.14650230,0.00048834
-9.94368650,0.18556950,0.00195336
-9.94317450,0.16603590,0.00146502
-9.94266250,0.16603590,0.00146502
-9.94215050,0.17580270,0.00244170
-9.94163850,0.17580270,0.00293005
-9.94112650,0.17580270,0.00146502
-9.94061450,0.14650230,0.00195336
-9.94010250,0.16603590,0.00244170
-9.93959050,0.15626910,0.00244170
-9.93907850,0.14650230,0.00390673
-9.93856650,0.14650230,0.00244170
-9.93805450,0.15626910,0.00341839
-9.93754250,0.14650230,0.00390673
-9.93703050,0.13673540,0.00439507
-9.93651850,0.17580270,0.00244170
-9.93600650,0.16603590,0.00244170
-9.93549450,0.16603590,0.00293005
-9.93498250,0.18556950,0.00488341
-9.93447050,0.16603590,0.00488341
-9.93395850,0.15626910,0.00293005
-9.93344650,0.16603590,0.00439507
-9.93293450,0.15626910,0.00439507
-9.93242250,0.17580270,0.00341839
-9.93191050,0.18556950,0.00341839
-9.93139850,0.13673540,0.00439507
-9.93088650,0.15626910,0.00488341
-9.93037450,0.15626910,0.00439507
-9.92986250,0.18556950,0.00439507
-9.92935050,0.15626910,0.00586009
-9.92883850,0.16603590,0.00341839
-9.92832650,0.16603590,0.00537175
-9.92781450,0.16603590,0.00439507
-9.92730250,0.15626910,0.00537175
-9.92679050,0.16603590,0.00390673
-9.92627850,0.16603590,0.00195336
-9.92576650,0.13673540,0.00293005
-9.92525450,0.16603590,0.00341839
-9.92474250,0.17580270,0.00341839
-9.92423050,0.16603590,0.00439507
-9.92371850,0.15626910,0.00488341
-9.92320650,0.16603590,0.00586009
-9.92269450,0.14650230,0.00439507
-9.92218250,0.17580270,0.00390673
-9.92167050,0.19533630,0.00732511
-9.92115850,0.17580270,0.00439507
-9.92064650,0.17580270,0.00586009
-9.92013450,0.19533630,0.00488341
-9.91962250,0.18556950,0.00390673
-9.91911050,0.18556950,0.00537175
-9.91859850,0.19533630,0.00341839
-9.91808650,0.17580270,0.00488341
-9.91757450,0.18556950,0.00341839
-9.91706250,0.19533630,0.00341839
-9.91655050,0.20510320,0.00390673
-9.91603850,0.18556950,0.00586009
-9.91552650,0.17580270,0.00537175
-9.91501450,0.20510320,0.00390673
-9.91450250,0.12696860,0.00488341
-9.91399050,0.19533630,0.00537175
-9.91347850,0.20510320,0.00390673
-9.91296650,0.18556950,0.00439507
