Time,Channel A,Channel B
(ms),(V),(V)

-9.66869368,0.22952020,0.01855695
-9.66312568,0.21975340,0.01465023
-9.65755768,0.21487000,0.01953363
-9.65198968,0.20998660,0.01953363
-9.64642168,0.19533630,0.02441704
-9.64085368,0.18068610,0.01855695
-9.63528568,0.18556950,0.01758027
-9.62971768,0.18556950,0.01953363
-9.62414968,0.18068610,0.02051032
-9.61858168,0.22463680,0.02148700
-9.61301368,0.23440360,0.01953363
-9.60744568,0.20510320,0.01855695
-9.60187768,0.19533630,0.01953363
-9.59630968,0.20021980,0.02051032
-9.59074168,0.20021980,0.02344036
-9.58517368,0.17580270,0.01855695
-9.57960568,0.19045290,0.02148700
-9.57403768,0.17580270,0.02148700
-9.56846968,0.20998660,0.01953363
-9.56290168,0.20021980,0.02051032
-9.55733368,0.21487000,0.02148700
-9.55176568,0.20021980,0.01660359
-9.54619768,0.20510320,0.01855695
-9.54062968,0.22463680,0.02246368
-9.53506168,0.20998660,0.02539372
-9.52949368,0.20021980,0.02148700
-9.52392568,0.20998660,0.02051032
-9.51835768,0.23440360,0.02246368
-9.51278968,0.20998660,0.01953363
-9.50722168,0.21975340,0.02344036
-9.50165368,0.19045290,0.01855695
-9.49608568,0.21487000,0.01855695
-9.49051768,0.20510320,0.01758027
-9.48494968,0.20998660,0.01855695
-9.47938168,0.20510320,0.01953363
-9.47381368,0.19533630,0.02246368
-9.46824568,0.19533630,0.01953363
-9.46267769,0.17091930,0.02051032
-9.45710969,0.21975340,0.02051032
-9.45154169,0.21487000,0.02148700
-9.44597369,0.20021980,0.01953363
-9.44040569,0.20998660,0.02148700
-9.43483769,0.20998660,0.02051032
-9.42926969,0.21487000,0.01855695
-9.42370169,0.22952020,0.02441704
-9.41813369,0.23440360,0.01855695
-9.41256569,0.20998660,0.01367354
-9.40699769,0.20021980,0.02051032
-9.40142969,0.20510320,0.01953363
-9.39586169,0.19533630,0.01953363
-9.39029369,0.21975340,0.01660359
-9.38472569,0.19533630,0.02051032
-9.37915769,0.20021980,0.02148700
-9.37358969,0.21487000,0.01855695
-9.36802169,0.21487000,0.02637041
-9.36245369,0.20510320,0.01855695
-9.35688569,0.22952020,0.01855695
-9.35131769,0.21975340,0.01855695
-9.34574969,0.22463680,0.01562691
-9.34018169,0.21487000,0.01855695
-9.33461369,0.21487000,0.02148700
-9.32904569,0.22952020,0.02051032
-9.32347769,0.20021980,0.01953363
-9.31790969,0.19045290,0.01758027
-9.31234169,0.20021980,0.01953363
-9.30677369,0.22463680,0.01465023
-9.30120569,0.20021980,0.01465023
-9.29563769,0.20021980,0.01367354
-9.29006969,0.20998660,0.01074350
-9.28450169,0.21487000,0.01953363
-9.27893369,0.19045290,0.01758027
-9.27336569,0.18556950,0.01758027
-9.26779769,0.22463680,0.01367354
-9.26222969,0.20998660,0.01562691
-9.25666169,0.20998660,0.02344036
-9.25109369,0.21487000,0.01465023
-9.24552569,0.21487000,0.01269686
-9.23995769,0.19533630,0.01562691
-9.23438969,0.21487000,0.01855695
-9.22882169,0.20510320,0.01855695
-9.22325369,0.22952020,0.01660359
-9.21768569,0.23928700,0.01953363
-9.21211770,0.25393720,0.01953363
-9.20654970,0.23928700,0.01855695
-9.20098170,0.21975340,0.01953363
-9.19541370,0.20510320,0.01855695
-9.18984570,0.18556950,0.02051032
-9.18427770,0.21487000,0.02051032
-9.17870970,0.19533630,0.01465023
-9.17314170,0.18556950,0.02246368
-9.16757370,0.18068610,0.01855695
-9.16200570,0.21975340,0.01758027
-9.15643770,0.20998660,0.01855695
-9.15086970,0.22463680,0.02051032
-9.14530170,0.21487000,0.02246368
-9.13973370,0.21487000,0.02148700
-9.13416570,0.18556950,0.02148700
-9.12859770,0.18556950,0.02148700
-9.12302970,0.18556950,0.02246368
-9.11746170,0.21487000,0.02344036
-9.11189370,0.20998660,0.02051032
-9.10632570,0.20998660,0.01953363
-9.10075770,0.19045290,0.02051032
-9.09518970,0.20510320,0.02246368
-9.08962170,0.21975340,0.02344036
-9.08405370,0.20510320,0.02051032
-9.07848570,0.19533630,0.02051032
-9.07291770,0.20510320,0.02148700
-9.06734970,0.20021980,0.02344036
-9.06178170,0.20998660,0.02441704
-9.05621370,0.22463680,0.01758027
-9.05064570,0.23440360,0.02148700
-9.04507770,0.22463680,0.02148700
-9.03950970,0.20510320,0.01953363
-9.03394170,0.19533630,0.02344036
-9.02837370,0.20021980,0.02246368
-9.02280570,0.21487000,0.02344036
-9.01723770,0.21487000,0.02246368
-9.01166970,0.22463680,0.02051032
-9.00610170,0.24905380,0.02148700
