Time,Channel A,Channel B
(ms),(V),(V)

-9.66945751,0.21975340,0.02148700
-9.66388951,0.20998660,0.02246368
-9.65832151,0.22463680,0.01953363
-9.65275351,0.22952020,0.02539372
-9.64718551,0.23440360,0.02441704
-9.64161751,0.25882070,0.02441704
-9.63604951,0.24905380,0.02637041
-9.63048151,0.24905380,0.02246368
-9.62491351,0.24417040,0.02246368
-9.61934551,0.21487000,0.01758027
-9.61377751,0.21487000,0.02246368
-9.60820951,0.20510320,0.01855695
-9.60264151,0.20510320,0.01660359
-9.59707351,0.18556950,0.01953363
-9.59150551,0.21487000,0.01758027
-9.58593751,0.23928700,0.01758027
-9.58036951,0.21487000,0.01465023
-9.57480151,0.23440360,0.01562691
-9.56923351,0.21975340,0.01758027
-9.56366551,0.22463680,0.01367354
-9.55809751,0.19045290,0.01855695
-9.55252951,0.20998660,0.01562691
-9.54696151,0.20998660,0.01855695
-9.54139351,0.21975340,0.02148700
-9.53582551,0.18068610,0.01855695
-9.53025751,0.20998660,0.01953363
-9.52468952,0.20021980,0.02051032
-9.51912152,0.21975340,0.01953363
-9.51355352,0.21487000,0.02148700
-9.50798552,0.22463680,0.01758027
-9.50241752,0.21975340,0.02051032
-9.49684952,0.21487000,0.02246368
-9.49128152,0.22463680,0.02246368
-9.48571352,0.20510320,0.02051032
-9.48014552,0.21487000,0.01953363
-9.47457752,0.21487000,0.01953363
-9.46900952,0.21487000,0.01953363
-9.46344152,0.19045290,0.02051032
-9.45787352,0.19533630,0.02637041
-9.45230552,0.20998660,0.01953363
-9.44673752,0.20021980,0.01367354
-9.44116952,0.19045290,0.01562691
-9.43560152,0.19533630,0.01465023
-9.43003352,0.18068610,0.01953363
-9.42446552,0.20510320,0.01562691
-9.41889752,0.21487000,0.01660359
-9.41332952,0.22463680,0.02246368
-9.40776152,0.20998660,0.01855695
-9.40219352,0.21975340,0.02734709
-9.39662552,0.22463680,0.02246368
-9.39105752,0.21487000,0.02051032
-9.38548952,0.21487000,0.02051032
-9.37992152,0.19533630,0.01953363
-9.37435352,0.23440360,0.02344036
-9.36878552,0.20021980,0.02148700
-9.36321752,0.18556950,0.02441704
-9.35764952,0.18068610,0.01855695
-9.35208152,0.21975340,0.01855695
-9.34651352,0.22463680,0.01953363
-9.34094552,0.18068610,0.02246368
-9.33537752,0.19045290,0.01953363
-9.32980952,0.20998660,0.01855695
-9.32424152,0.22463680,0.01953363
-9.31867352,0.21975340,0.02344036
-9.31310552,0.18556950,0.01660359
-9.30753752,0.19045290,0.01660359
-9.30196952,0.20998660,0.01953363
-9.29640152,0.20998660,0.01855695
-9.29083352,0.21975340,0.01855695
-9.28526552,0.23440360,0.01855695
-9.27969752,0.20998660,0.01953363
-9.27412953,0.21975340,0.01855695
-9.26856153,0.21487000,0.01758027
-9.26299353,0.20998660,0.02344036
-9.25742553,0.21487000,0.01660359
-9.25185753,0.21975340,0.01660359
-9.24628953,0.21975340,0.02148700
-9.24072153,0.18556950,0.01953363
-9.23515353,0.20998660,0.02246368
-9.22958553,0.21487000,0.01660359
-9.22401753,0.20510320,0.02051032
-9.21844953,0.21975340,0.01758027
-9.21288153,0.20998660,0.01855695
-9.20731353,0.21975340,0.02148700
-9.20174553,0.25882070,0.01660359
-9.19617753,0.23928700,0.02148700
-9.19060953,0.20510320,0.02246368
-9.18504153,0.21487000,0.01953363
-9.17947353,0.21487000,0.02344036
-9.17390553,0.21487000,0.02246368
-9.16833753,0.23440360,0.01562691
-9.16276953,0.21975340,0.02148700
-9.15720153,0.23440360,0.01660359
-9.15163353,0.22463680,0.01855695
-9.14606553,0.23440360,0.01953363
-9.14049753,0.19045290,0.01758027
-9.13492953,0.18556950,0.01758027
-9.12936153,0.20998660,0.02051032
-9.12379353,0.22952020,0.02051032
-9.11822553,0.20998660,0.01953363
-9.11265753,0.20998660,0.01758027
-9.10708953,0.20021980,0.01953363
-9.10152153,0.20998660,0.01953363
-9.09595353,0.19533630,0.01855695
-9.09038553,0.20021980,0.01758027
-9.08481753,0.21487000,0.01758027
-9.07924953,0.21487000,0.01855695
-9.07368153,0.22463680,0.01367354
-9.06811353,0.22952020,0.02051032
-9.06254553,0.24905380,0.01855695
-9.05697753,0.22952020,0.02051032
-9.05140953,0.22952020,0.01660359
-9.04584153,0.23928700,0.01758027
-9.04027353,0.22952020,0.01953363
-9.03470553,0.21975340,0.01465023
-9.02913753,0.22952020,0.01465023
-9.02356953,0.23440360,0.01953363
-9.01800154,0.23440360,0.01660359
-9.01243354,0.23440360,0.02148700
-9.00686554,0.24417040,0.02148700
