Frequency,Channel A,Channel B
(MHz),(dBu),(dBu)

0.00000000,11.12427000,-57.02613000
0.00047684,3.15672300,-59.50428000
0.00095367,-3.54675000,-67.21766000
0.00143051,-2.33216800,-59.98442000
0.00190735,-10.22485000,-59.05429000
0.00238419,-25.50430000,-67.14542000
0.00286102,-15.08185000,-65.80149000
0.00333786,-17.31692000,-71.96919000
0.00381470,-26.30070000,-60.53063000
0.00429153,-23.22047000,-69.56746000
0.00476837,-21.48432000,-63.03841000
0.00524521,-25.13107000,-63.58223000
0.00572205,-27.13706000,-69.44617000
0.00619888,-26.19496000,-58.19237000
0.00667572,-27.08222000,-59.83093000
0.00715256,-29.84739000,-75.39435000
0.00762939,-28.62079000,-64.47765000
0.00810623,-28.36232000,-61.86998000
0.00858307,-30.42202000,-61.57238000
0.00905991,-32.13274000,-62.98771000
0.00953674,-30.21283000,-69.42728000
0.01001358,-31.62977000,-59.83941000
0.01049042,-33.32044000,-66.05293000
0.01096725,-32.23363000,-63.02723000
0.01144409,-32.92796000,-64.03872000
0.01192093,-34.16600000,-65.92160000
0.01239777,-34.75626000,-61.40114000
0.01287460,-36.12206000,-66.68684000
0.01335144,-34.36572000,-67.59010000
0.01382828,-35.93712000,-63.54771000
0.01430511,-34.87930000,-66.07076000
0.01478195,-37.29135000,-70.46470000
0.01525879,-36.77230000,-69.33608000
0.01573563,-38.01462000,-65.75368000
0.01621246,-35.12870000,-70.03439000
0.01668930,-37.85266000,-58.65611000
0.01716614,-37.58097000,-59.10943000
0.01764297,-37.50197000,-66.78341000
0.01811981,-40.70923000,-69.66853000
0.01859665,-38.02413000,-66.05477000
0.01907349,-38.71422000,-74.04011000
0.01955032,-43.51928000,-64.46474000
0.02002716,-39.01778000,-67.67266000
0.02050400,-41.37233000,-69.75764000
0.02098083,-40.04387000,-69.19847000
0.02145767,-41.78217000,-74.24373000
0.02193451,-38.22159000,-68.55223000
0.02241135,-41.23795000,-72.23706000
0.02288818,-44.49411000,-74.58755000
0.02336502,-40.83546000,-75.68095000
0.02384186,-42.21714000,-67.35683000
0.02431870,-43.56868000,-67.21000000
0.02479553,-40.16734000,-68.10236000
0.02527237,-41.97846000,-78.96947000
0.02574921,-45.01469000,-68.67014000
0.02622604,-44.37160000,-74.75603000
0.02670288,-44.62091000,-67.38033000
0.02717972,-44.01698000,-68.51228000
0.02765656,-43.71120000,-76.96793000
0.02813339,-45.21761000,-69.09482000
0.02861023,-46.71926000,-70.97594000
0.02908707,-45.51162000,-78.41943000
0.02956390,-43.40258000,-73.06785000
0.03004074,-42.76907000,-70.09862000
0.03051758,-47.95637000,-70.49182000
0.03099442,-45.98107000,-81.39153000
0.03147125,-45.97497000,-73.00737000
0.03194809,-47.92518000,-69.65688000
0.03242493,-45.71243000,-72.72942000
0.03290176,-46.02176000,-74.21869000
0.03337860,-43.46617000,-66.93075000
0.03385544,-50.06522000,-63.68148000
0.03433228,-47.53246000,-66.09823000
0.03480911,-49.34749000,-84.55849000
0.03528595,-46.79316000,-73.98875000
0.03576279,-44.40407000,-72.91437000
0.03623962,-51.49744000,-80.76511000
0.03671646,-45.74944000,-67.02017000
0.03719330,-44.64938000,-71.53039000
0.03767014,-49.83158000,-71.12342000
0.03814697,-50.54813000,-78.54536000
0.03862381,-54.62959000,-72.86808000
0.03910065,-48.54132000,-69.29021000
0.03957748,-45.77938000,-66.32149000
0.04005432,-55.79420000,-76.32301000
0.04053116,-48.58147000,-71.38187000
0.04100800,-47.67464000,-72.23122000
0.04148483,-50.98944000,-78.12899000
0.04196167,-51.29842000,-78.31099000
0.04243851,-45.99722000,-72.56416000
0.04291534,-51.81149000,-67.43773000
0.04339218,-49.52211000,-68.39843000
0.04386902,-48.52344000,-72.11753000
0.04434586,-54.25451000,-67.52051000
0.04482269,-49.80664000,-74.67714000
0.04529953,-46.94485000,-74.71739000
0.04577637,-49.21309000,-75.29422000
0.04625320,-53.13543000,-87.28958000
0.04673004,-51.46392000,-69.37848000
0.04720688,-52.03862000,-68.04641000
0.04768372,-51.18105000,-72.38126000
0.04816055,-51.37225000,-87.56369000
0.04863739,-58.82282000,-75.65855000
0.04911423,-50.75685000,-74.21488000
0.04959106,-52.16724000,-69.28985000
0.05006790,-52.87148000,-80.78981000
0.05054474,-57.54870000,-76.19369000
0.05102158,-52.55136000,-77.92597000
0.05149841,-50.17342000,-71.34148000
0.05197525,-55.93579000,-71.73100000
0.05245209,-48.37994000,-70.90710000
0.05292892,-59.63360000,-85.19504000
0.05340576,-53.23841000,-74.68980000
0.05388260,-56.98180000,-80.94485000
0.05435944,-50.12938000,-80.56693000
0.05483627,-53.52983000,-72.80669000
0.05531311,-58.48653000,-70.16768000
0.05578995,-56.71127000,-74.97781000
0.05626678,-52.84813000,-79.09027000
0.05674362,-51.32309000,-75.69747000
0.05722046,-51.95186000,-76.91431000
0.05769730,-56.62285000,-97.15166000
0.05817413,-58.06257000,-78.06899000
0.05865097,-54.81160000,-81.25589000
0.05912781,-67.77592000,-75.35255000
0.05960464,-54.35567000,-76.59254000
0.06008148,-52.59341000,-83.37159000
0.06055832,-53.30999000,-74.13657000
0.06103516,-53.13088000,-79.43709000
0.06151199,-53.31240000,-71.06224000
0.06198883,-57.76836000,-70.36256000
0.06246567,-57.28998000,-77.16421000
0.06294250,-56.95842000,-76.72057000
0.06341934,-53.84174000,-73.99102000
0.06389618,-56.71608000,-92.43887000
0.06437302,-60.77720000,-71.85444000
0.06484985,-56.83665000,-69.09854000
0.06532669,-58.21769000,-72.93118000
0.06580353,-57.01303000,-74.15116000
0.06628036,-53.78979000,-70.56190000
0.06675720,-54.31134000,-78.24053000
0.06723404,-62.50725000,-75.08067000
0.06771088,-58.34524000,-74.83086000
0.06818771,-55.69894000,-84.52670000
0.06866455,-51.61057000,-77.33722000
0.06914139,-58.50802000,-71.77791000
0.06961823,-59.55975000,-73.43945000
0.07009506,-52.18572000,-78.16457000
0.07057190,-54.10515000,-79.04433000
0.07104874,-59.98306000,-80.32558000
0.07152557,-49.05527000,-82.32629000
0.07200241,-51.55943000,-76.99152000
0.07247925,-65.73115000,-79.61934000
0.07295609,-53.13274000,-78.44117000
0.07343292,-51.76985000,-72.24148000
0.07390976,-64.75857000,-80.27371000
0.07438660,-58.74380000,-71.13599000
0.07486343,-58.07172000,-74.88029000
0.07534027,-57.63725000,-79.88360000
0.07581711,-57.34520000,-75.67008000
0.07629395,-58.43130000,-84.08192000
0.07677078,-60.59919000,-80.14992000
0.07724762,-56.75291000,-75.34850000
0.07772446,-56.17955000,-83.37552000
0.07820129,-54.65432000,-86.23440000
0.07867813,-64.94830000,-73.11293000
0.07915497,-59.62679000,-75.56903000
0.07963181,-56.40229000,-81.49326000
0.08010864,-59.73068000,-76.20413000
0.08058548,-59.76715000,-76.37746000
0.08106232,-59.85905000,-78.11126000
0.08153915,-58.56338000,-84.98225000
