MIN=0	-1	-10
MAX=20	1	10
SCALE=20	0,5	5
DEC=1	3	2
DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V
0	-0,002	0,02
0,101	-0,0025	0,025
0,201	-0,002	0,025
0,301	-0,002	0,025
0,399	-0,0025	0,025
0,501	-0,0025	0,02
0,601	-0,003	0,02
0,7	-0,0025	0,02
0,801	-0,002	0,02
0,899	-0,0025	0,025
1	-0,002	0,025
1,101	-0,0025	0,015
1,201	-0,003	0,02
1,301	-0,002	0,025
1,401	-0,003	0,03
1,501	-0,0035	0,04
1,601	-0,004	0,045
1,701	-0,0045	0,045
1,801	-0,005	0,05
1,901	-0,0055	0,055
2,001	-0,0065	0,06
2,1	-0,0065	0,065
2,209	-0,007	0,07
2,3	-0,0075	0,07
2,401	-0,008	0,075
2,501	-0,0085	0,075
2,6	-0,0085	0,08
2,701	-0,0085	0,085
2,81	-0,01	0,09
2,909	-0,0095	0,095
3	-0,01	0,1
3,1	-0,0105	0,095
3,2	-0,011	0,105
3,301	-0,0115	0,105
3,401	-0,0115	0,105
3,501	-0,012	0,115
3,619	-0,012	0,115
3,701	-0,013	0,115
3,801	-0,0135	0,13
3,901	-0,014	0,135
4,001	-0,016	0,15
4,1	-0,0155	0,15
4,212	-0,0165	0,15
4,3	-0,0165	0,155
4,401	-0,0175	0,165
4,501	-0,018	0,17
4,6	-0,018	0,17
4,701	-0,019	0,175
4,812	-0,0195	0,18
4,901	-0,02	0,185
5,001	-0,021	0,195
5,101	-0,0215	0,2
5,201	-0,022	0,205
5,301	-0,023	0,215
5,439	-0,0235	0,215
5,501	-0,0235	0,22
5,601	-0,025	0,23
5,707	-0,0255	0,235
5,801	-0,026	0,24
5,901	-0,027	0,24
6,001	-0,028	0,255
6,101	-0,028	0,25
6,201	-0,0285	0,255
6,301	-0,0305	0,265
6,401	-0,031	0,28
6,501	-0,0315	0,28
6,601	-0,032	0,285
6,701	-0,0325	0,285
6,801	-0,034	0,295
6,901	-0,033	0,29
7,008	-0,033	0,29
7,113	-0,033	0,29
7,201	-0,0335	0,29
7,301	-0,0335	0,29
7,401	-0,0335	0,29
7,501	-0,033	0,295
7,601	-0,033	0,29
7,701	-0,033	0,29
7,801	-0,0335	0,29
7,9	-0,033	0,29
8,014	-0,0335	0,29
8,116	-0,034	0,29
8,2	-0,0335	0,29
8,3	-0,0335	0,29
8,4	-0,034	0,29
8,521	-0,033	0,29
8,601	-0,033	0,29
8,701	-0,034	0,285
8,8	-0,034	0,295
8,901	-0,033	0,29
9	-0,034	0,29
9,1	-0,0335	0,29
9,2	-0,033	0,295
9,3	-0,033	0,29
9,4	-0,0335	0,29
9,512	-0,034	0,295
9,6	-0,034	0,295
9,7	-0,0335	0,29
9,801	-0,0335	0,29
9,9	-0,033	0,29
10,001	-0,0335	0,29
10,1	-0,033	0,29
10,2	-0,0335	0,29
10,304	-0,0335	0,29
10,4	-0,033	0,295
10,51	-0,033	0,29
10,6	-0,033	0,29
10,7	-0,0335	0,29
10,8	-0,034	0,29
10,9	-0,033	0,29
11	-0,033	0,29
11,1	-0,0335	0,29
11,2	-0,033	0,29
11,3	-0,033	0,29
11,4	-0,0335	0,29
11,5	-0,0335	0,29
11,6	-0,033	0,29
11,707	-0,034	0,295
11,8	-0,0335	0,29
11,9	-0,0335	0,29
12	-0,0335	0,295
12,1	-0,0315	0,275
12,199	-0,031	0,275
12,3	-0,03	0,26
12,4	-0,0295	0,265
12,5	-0,029	0,255
12,6	-0,0285	0,25
12,7	-0,0275	0,245
12,812	-0,0265	0,24
12,901	-0,027	0,235
13	-0,0265	0,23
13,1	-0,026	0,225
13,2	-0,0265	0,225
13,3	-0,0255	0,225
13,4	-0,025	0,22
13,5	-0,023	0,205
13,6	-0,0225	0,2
13,7	-0,022	0,19
13,8	-0,021	0,185
13,9	-0,019	0,17
14	-0,019	0,17
14,102	-0,018	0,16
14,2	-0,0165	0,145
14,3	-0,0155	0,135
14,4	-0,0155	0,13
14,5	-0,0145	0,125
14,6	-0,0135	0,115
14,7	-0,0115	0,11
14,8	-0,0115	0,1
14,908	-0,009	0,075
15	-0,008	0,07
15,1	-0,007	0,045
15,217	-0,0045	0,04
15,304	-0,003	0,03
15,4	-0,0025	0,025
15,5	-0,0025	0,02
15,6	-0,0025	0,02
15,7	-0,0025	0,02
15,8	-0,0025	0,025
15,9	-0,002	0,025
16	-0,0025	0,02
16,1	-0,0025	0,025
16,2	-0,0025	0,025
16,3	-0,0025	0,03
16,407	-0,0025	0,02
16,5	-0,0025	0,025
16,611	-0,0025	0,02
16,716	-0,0025	0,02
16,8	-0,0025	0,025
16,9	-0,0025	0,02
17	-0,0025	0,025
17,111	-0,0025	0,025
17,2	-0,0025	0,02
17,3	-0,002	0,02
17,401	-0,002	0,02
17,5	-0,0025	0,025
17,61	-0,0025	0,025
17,7	-0,002	0,025
17,8	-0,002	0,02
17,9	-0,002	0,02
18	-0,0025	0,02
18,1	-0,002	0,025
18,2	-0,0025	0,025
18,3	-0,002	0,02
18,4	-0,002	0,02
18,5	-0,002	0,025
18,6	-0,002	0,02
18,7	-0,002	0,025
18,8	-0,002	0,025
18,9	-0,002	0,025
19	-0,0025	0,02
19,106	-0,003	0,02
19,217	-0,002	0,025
19,3	-0,003	0,02
19,4	-0,0025	0,025
19,5	-0,0025	0,02
