MIN=0	-1	-10
MAX=28,2842712474619	1	10
SCALE=28,2842712474619	0,5	5
DEC=1	3	2
DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V
0	-0,002	0,025
0,1	-0,002	0,02
0,2	-0,0025	0,02
0,3	-0,002	0,02
0,4	-0,002	0,025
0,5	-0,0025	0,025
0,6	-0,002	0,025
0,7	-0,003	0,02
0,799	-0,0025	0,025
0,899	-0,0025	0,02
1	-0,002	0,02
1,1	-0,0025	0,015
1,2	-0,003	0,02
1,3	-0,002	0,02
1,401	-0,0025	0,02
1,501	-0,0025	0,02
1,599	-0,0025	0,02
1,701	-0,0025	0,025
1,8	-0,002	0,025
1,901	-0,002	0,02
2,01	-0,002	0,02
2,108	-0,002	0,02
2,2	-0,0025	0,025
2,301	-0,003	0,025
2,404	-0,0035	0,03
2,5	-0,0045	0,04
2,6	-0,0035	0,035
2,7	-0,004	0,04
2,801	-0,0045	0,04
2,901	-0,0045	0,04
3,002	-0,005	0,045
3,1	-0,0055	0,05
3,211	-0,006	0,055
3,317	-0,007	0,06
3,4	-0,0065	0,055
3,501	-0,007	0,06
3,6	-0,0075	0,065
3,725	-0,008	0,065
3,8	-0,0085	0,065
3,901	-0,008	0,07
4	-0,009	0,07
4,101	-0,009	0,07
4,201	-0,009	0,075
4,301	-0,009	0,08
4,401	-0,009	0,075
4,501	-0,009	0,08
4,601	-0,0095	0,08
4,711	-0,01	0,085
4,801	-0,01	0,08
4,901	-0,0105	0,09
5	-0,0105	0,09
5,101	-0,0115	0,095
5,201	-0,012	0,1
5,301	-0,0115	0,095
5,401	-0,0125	0,105
5,53	-0,0125	0,1
5,601	-0,0125	0,105
5,7	-0,013	0,11
5,801	-0,013	0,115
5,906	-0,014	0,115
6,001	-0,0135	0,115
6,1	-0,0145	0,12
6,2	-0,0135	0,12
6,309	-0,0145	0,12
6,401	-0,0145	0,125
6,501	-0,0145	0,125
6,601	-0,015	0,125
6,701	-0,015	0,13
6,801	-0,0155	0,13
6,901	-0,016	0,13
7,016	-0,016	0,135
7,101	-0,0165	0,135
7,201	-0,016	0,135
7,328	-0,017	0,14
7,401	-0,017	0,14
7,501	-0,017	0,14
7,607	-0,017	0,145
7,701	-0,0175	0,145
7,804	-0,018	0,145
7,901	-0,0185	0,15
8,001	-0,019	0,15
8,101	-0,0195	0,16
8,214	-0,02	0,165
8,301	-0,02	0,165
8,401	-0,0205	0,17
8,515	-0,0215	0,18
8,601	-0,023	0,185
8,701	-0,0235	0,19
8,801	-0,0225	0,19
8,9	-0,0235	0,19
9,001	-0,0225	0,185
9,101	-0,0225	0,185
9,201	-0,0225	0,185
9,301	-0,023	0,19
9,409	-0,0235	0,19
9,501	-0,025	0,2
9,644	-0,0245	0,2
9,701	-0,0255	0,205
9,8	-0,026	0,205
9,901	-0,0255	0,215
10,001	-0,026	0,215
10,1	-0,0265	0,215
10,2	-0,0265	0,215
10,301	-0,0265	0,22
10,4	-0,028	0,225
10,501	-0,0275	0,22
10,601	-0,0285	0,23
10,701	-0,0285	0,23
