MIN=0	-1	-10
MAX=28,2842712474619	1	10
SCALE=28,2842712474619	0,5	5
DEC=1	3	2
DEF="Time" t / s	"Current" I_A1 / A	"Voltage" U_B1 / V
0	-0,0025	0,02
0,1	-0,002	0,02
0,199	-0,0025	0,025
0,3	-0,002	0,02
0,4	-0,002	0,02
0,5	-0,002	0,02
0,6	-0,002	0,025
0,7	-0,002	0,02
0,8	-0,002	0,025
0,9	-0,002	0,025
1	-0,002	0,02
1,1	-0,0025	0,02
1,2	-0,002	0,02
1,299	-0,002	0,025
1,4	-0,002	0,025
1,5	-0,0025	0,02
1,613	-0,002	0,02
1,7	-0,0025	0,02
1,799	-0,002	0,025
1,899	-0,002	0,025
2	-0,002	0,02
2,1	-0,0025	0,025
2,2	-0,002	0,025
2,301	-0,0025	0,025
2,4	-0,0035	0,035
2,5	-0,0035	0,04
2,6	-0,0035	0,04
2,7	-0,0045	0,045
2,8	-0,0045	0,045
2,9	-0,005	0,05
3	-0,005	0,05
3,1	-0,0055	0,055
3,2	-0,006	0,055
3,3	-0,0065	0,06
3,4	-0,007	0,065
3,499	-0,008	0,07
3,6	-0,008	0,075
3,701	-0,008	0,08
3,8	-0,0085	0,08
3,9	-0,009	0,085
4,001	-0,009	0,09
4,1	-0,0095	0,09
4,2	-0,01	0,095
4,3	-0,0105	0,095
4,4	-0,011	0,105
4,499	-0,012	0,105
4,6	-0,0125	0,11
4,7	-0,0125	0,115
4,8	-0,0135	0,12
4,9	-0,013	0,125
4,999	-0,0135	0,125
5,1	-0,0145	0,13
5,211	-0,015	0,135
5,3	-0,0155	0,14
5,4	-0,016	0,14
5,5	-0,0165	0,14
5,6	-0,0165	0,145
5,7	-0,017	0,15
5,8	-0,0165	0,155
5,9	-0,017	0,155
6,013	-0,018	0,16
6,1	-0,018	0,165
6,2	-0,0185	0,17
6,301	-0,019	0,175
6,4	-0,0205	0,19
6,5	-0,021	0,19
6,6	-0,022	0,19
6,7	-0,022	0,195
6,8	-0,023	0,2
6,9	-0,0235	0,21
7	-0,024	0,215
7,1	-0,025	0,22
7,2	-0,0245	0,22
7,3	-0,026	0,225
7,4	-0,0265	0,23
7,501	-0,0265	0,23
7,6	-0,0265	0,24
7,699	-0,0265	0,24
7,801	-0,028	0,245
7,9	-0,0285	0,24
8,001	-0,0285	0,255
8,115	-0,03	0,255
8,201	-0,0295	0,26
8,3	-0,0305	0,265
8,415	-0,0325	0,28
8,5	-0,0335	0,285
8,6	-0,0325	0,285
8,708	-0,033	0,29
8,801	-0,0335	0,285
8,9	-0,033	0,28
9	-0,033	0,29
9,101	-0,033	0,28
9,199	-0,033	0,28
9,311	-0,0335	0,275
9,401	-0,0335	0,28
9,501	-0,0335	0,28
9,601	-0,034	0,28
9,701	-0,0335	0,28
9,827	-0,0335	0,28
9,901	-0,0335	0,28
10,001	-0,033	0,28
10,101	-0,0335	0,28
10,201	-0,0335	0,28
10,301	-0,034	0,285
10,4	-0,034	0,28
10,501	-0,033	0,28
10,631	-0,0335	0,28
10,717	-0,0335	0,28
10,801	-0,034	0,28
