MIN=0	-1000	-10
MAX=20	1000	10
SCALE=20	500	5
DEC=1	0	2
DEF="Time" t / s	"Magn. flux density" B_A1 / mT	"Voltage" U_B1 / V
0	0,5	0,27
0,101	0,5	0,27
0,205	0,5	0,27
0,3	0,5	0,27
0,401	0,5	0,27
0,5	0,5	0,27
0,6	0	0,27
0,701	0,5	0,265
0,8	0,5	0,265
0,9	0,5	0,27
1	0,5	0,265
1,101	0,5	0,265
1,201	0,5	0,27
1,3	0,5	0,265
1,401	0	0,265
1,501	0,5	0,27
1,601	0,5	0,27
1,7	2,5	0,265
1,801	4,5	0,265
1,901	6	0,265
2,001	8,5	0,265
2,101	11	0,265
2,201	13,5	0,275
2,301	14	0,265
2,4	16	0,265
2,503	17	0,265
2,601	19	0,265
2,719	21	0,265
2,801	22	0,26
2,901	22	0,26
3	23,5	0,26
3,101	24,5	0,26
3,202	25,5	0,26
3,301	25,5	0,26
3,401	26	0,265
3,5	27	0,26
3,601	27,5	0,26
3,701	28	0,26
3,8	29,5	0,26
3,901	29,5	0,26
3,999	30,5	0,26
4,1	32	0,26
4,201	33	0,265
4,301	35	0,26
4,401	36	0,26
4,5	37	0,26
4,6	37,5	0,26
4,7	38,5	0,26
4,8	39,5	0,26
4,917	40	0,26
5,007	41,5	0,255
5,101	42,5	0,26
5,2	44	0,26
5,3	44,5	0,26
5,4	47	0,26
5,5	47	0,255
5,601	48	0,26
5,7	50	0,26
5,799	49,5	0,26
5,9	50,5	0,255
6	51	0,26
6,099	51,5	0,26
6,2	52	0,255
6,3	53,5	0,26
6,433	54	0,255
6,5	48,5	0,255
6,6	52	0,255
6,7	57,5	0,26
6,809	58,5	0,255
6,901	59	0,255
7	60	0,255
7,101	61,5	0,26
7,201	63,5	0,255
7,3	65	0,255
7,4	66	0,25
7,5	67	0,255
7,6	68	0,255
7,7	69	0,25
7,8	71	0,255
7,9	70,5	0,25
8	72,5	0,255
8,1	73	0,255
8,2	74,5	0,25
8,301	76	0,25
8,4	77,5	0,255
8,5	78	0,255
8,601	79	0,25
8,7	79,5	0,25
8,8	80,5	0,25
8,9	81	0,25
9,011	82,5	0,25
9,1	82,5	0,25
9,2	84	0,25
9,3	84,5	0,25
9,401	86	0,25
9,534	87,5	0,25
9,601	87,5	0,25
9,701	88,5	0,25
9,8	90,5	0,25
9,901	91,5	0,245
10	93	0,25
10,1	90	0,25
10,201	95	0,25
10,301	98	0,25
10,401	96,5	0,245
10,501	99	0,245
10,6	100,5	0,25
10,731	101,5	0,245
10,801	102	0,25
10,901	104,5	0,245
11,001	106,5	0,25
11,1	109	0,245
11,214	110,5	0,245
11,301	112,5	0,24
11,4	114,5	0,245
11,501	116,5	0,24
11,601	119	0,245
11,7	120	0,245
11,8	120	0,24
11,901	120,5	0,245
12,009	122,5	0,245
12,1	123	0,245
12,215	125	0,24
12,301	126,5	0,245
12,401	128,5	0,245
12,501	130,5	0,24
12,601	132	0,245
12,714	133	0,245
12,8	133,5	0,24
12,908	135,5	0,24
13,02	137	0,24
13,101	139,5	0,24
13,201	141,5	0,24
13,301	145	0,24
13,401	148,5	0,235
13,501	149,5	0,235
13,611	154,5	0,24
13,701	155	0,24
13,801	157,5	0,235
13,901	159	0,235
14,001	161	0,235
14,101	162,5	0,23
14,201	163	0,235
14,311	164,5	0,24
14,4	167	0,24
14,501	169,5	0,235
14,601	168	0,24
14,701	173	0,24
14,801	174	0,235
14,901	175	0,235
15	176,5	0,24
15,101	180	0,235
15,201	180,5	0,24
15,309	181	0,235
15,401	180,5	0,235
15,501	181	0,24
15,625	181	0,235
15,701	181	0,235
15,801	181	0,24
15,901	181	0,235
16,001	181	0,24
16,111	181	0,235
16,2	181	0,24
16,301	181,5	0,235
16,4	181	0,235
16,538	181	0,235
16,6	181	0,24
16,701	181,5	0,235
16,8	181	0,235
16,901	181	0,24
17,001	181	0,24
17,101	181,5	0,235
17,231	181	0,24
17,301	181	0,235
17,401	181	0,235
17,501	181,5	0,235
17,601	181,5	0,23
17,701	181	0,235
17,801	181	0,22
17,9	181	0,235
18,001	181	0,235
18,13	181	0,23
18,201	181	0,24
