MIN=0	-10	-10
MAX=640	10	10
SCALE=640	5	5
DEC=1	2	2
DEF="Time" t / s	"Voltage" U_B1 / V	"Voltage" U_A1 / V
0	0,305	0,04
0,1	0,305	0,04
0,2	0,305	0,045
0,3	0,3	0,04
0,401	0,3	0,04
0,503	0,3	0,04
0,6	0,3	0,04
0,7	0,305	0,045
0,8	0,3	0,04
0,899	0,305	0,04
1	0,305	0,04
1,101	0,3	0,04
1,222	0,3	0,045
1,3	0,3	0,045
1,4	0,3	0,04
1,5	0,3	0,04
1,6	0,3	0,04
1,7	0,3	0,045
1,801	0,3	0,045
1,899	0,3	0,045
2	0,3	0,04
2,1	0,3	0,04
2,2	0,3	0,045
2,3	0,3	0,045
2,4	0,295	0,045
2,5	0,305	0,04
2,6	0,305	0,045
2,7	0,3	0,045
2,8	0,3	0,045
2,9	0,3	0,04
3	0,305	0,04
3,1	0,3	0,04
3,2	0,3	0,045
3,3	0,3	0,045
3,4	0,3	0,045
3,5	0,305	0,04
3,6	0,305	0,04
3,7	0,305	0,04
3,8	0,305	0,045
3,9	0,31	0,045
4	0,31	0,045
4,1	0,31	0,045
4,2	0,31	0,045
4,3	0,31	0,04
4,4	0,31	0,045
4,5	0,31	0,045
4,6	0,315	0,04
4,709	0,315	0,04
4,8	0,315	0,045
4,9	0,32	0,04
5	0,32	0,04
5,1	0,325	0,04
5,2	0,32	0,04
5,3	0,325	0,045
5,4	0,325	0,045
5,5	0,325	0,045
5,599	0,325	0,04
5,7	0,325	0,04
5,8	0,33	0,04
5,9	0,33	0,04
6	0,33	0,04
6,1	0,335	0,04
6,199	0,335	0,045
6,3	0,335	0,04
6,4	0,335	0,04
6,5	0,335	0,045
6,6	0,335	0,04
6,7	0,34	0,045
6,8	0,34	0,04
6,9	0,34	0,04
7	0,35	0,045
7,1	0,34	0,045
7,2	0,345	0,045
7,299	0,35	0,045
7,4	0,35	0,045
7,506	0,35	0,04
7,6	0,35	0,045
7,7	0,355	0,04
7,8	0,35	0,045
7,9	0,355	0,045
8	0,355	0,04
8,101	0,36	0,045
8,2	0,36	0,045
8,318	0,36	0,04
8,4	0,36	0,045
8,501	0,365	0,045
8,6	0,365	0,04
8,701	0,37	0,045
8,805	0,37	0,045
8,906	0,37	0,045
9,001	0,375	0,045
9,1	0,37	0,04
9,201	0,375	0,045
9,3	0,375	0,04
9,401	0,375	0,045
9,501	0,38	0,04
9,6	0,38	0,04
9,699	0,38	0,045
9,8	0,38	0,045
9,924	0,39	0,04
10,001	0,38	0,045
10,101	0,39	0,04
10,218	0,39	0,04
10,3	0,385	0,045
10,401	0,39	0,045
10,501	0,39	0,045
10,601	0,395	0,045
10,701	0,395	0,04
10,801	0,395	0,045
10,901	0,4	0,045
11,001	0,4	0,04
11,101	0,4	0,04
11,201	0,405	0,045
11,3	0,405	0,045
11,401	0,4	0,045
11,501	0,405	0,04
11,605	0,41	0,045
11,701	0,41	0,04
11,801	0,41	0,045
11,901	0,41	0,045
12,001	0,415	0,045
12,1	0,415	0,045
12,238	0,42	0,04
12,301	0,415	0,045
12,401	0,415	0,045
12,501	0,415	0,04
12,611	0,42	0,04
12,7	0,425	0,045
12,8	0,425	0,045
12,9	0,425	0,045
13	0,43	0,045
13,114	0,43	0,045
13,2	0,43	0,04
13,3	0,43	0,045
13,4	0,435	0,04
13,502	0,435	0,045
13,6	0,44	0,05
13,701	0,435	0,045
13,801	0,435	0,045
13,9	0,44	0,045
14,001	0,44	0,045
14,1	0,44	0,045
14,2	0,445	0,045
14,3	0,445	0,04
14,4	0,445	0,04
14,5	0,445	0,045
14,6	0,445	0,045
14,7	0,45	0,04
14,799	0,45	0,045
14,9	0,455	0,045
15	0,45	0,045
15,101	0,455	0,045
15,2	0,455	0,04
15,3	0,455	0,045
15,4	0,46	0,045
15,501	0,46	0,045
15,6	0,465	0,045
15,7	0,465	0,04
15,811	0,465	0,045
15,9	0,465	0,045
16	0,465	0,045
16,1	0,465	0,045
16,2	0,465	0,045
16,3	0,475	0,045
16,401	0,47	0,045
16,5	0,475	0,04
16,6	0,475	0,045
16,7	0,475	0,045
16,8	0,475	0,04
16,9	0,48	0,045
17	0,48	0,045
17,1	0,485	0,04
17,2	0,48	0,045
17,3	0,485	0,045
17,4	0,485	0,045
17,5	0,49	0,045
17,601	0,485	0,045
17,7	0,49	0,045
17,8	0,49	0,045
17,9	0,49	0,045
18	0,495	0,045
18,1	0,495	0,04
18,2	0,495	0,045
18,3	0,5	0,045
18,4	0,5	0,045
18,5	0,5	0,045
18,6	0,5	0,04
18,7	0,505	0,04
18,8	0,505	0,045
18,9	0,51	0,045
19	0,505	0,045
19,1	0,51	0,045
19,201	0,51	0,045
19,3	0,51	0,045
19,4	0,515	0,045
19,5	0,515	0,045
19,6	0,515	0,04
19,7	0,515	0,045
19,8	0,52	0,045
19,9	0,52	0,045
20	0,525	0,045
20,11	0,52	0,04
20,209	0,525	0,045
20,3	0,525	0,04
20,4	0,53	0,045
20,5	0,53	0,045
20,6	0,53	0,045
20,7	0,535	0,045
20,8	0,53	0,04
20,9	0,535	0,045
21	0,535	0,04
21,101	0,535	0,045
21,2	0,54	0,045
21,301	0,54	0,045
21,4	0,54	0,045
21,5	0,545	0,045
21,6	0,54	0,045
21,7	0,545	0,05
21,8	0,545	0,045
21,9	0,545	0,04
22	0,55	0,045
22,101	0,555	0,045
22,2	0,55	0,045
22,3	0,55	0,045
22,4	0,55	0,045
22,5	0,55	0,045
22,6	0,555	0,045
22,704	0,555	0,045
22,8	0,56	0,045
22,9	0,56	0,045
23	0,56	0,04
23,101	0,565	0,045
23,2	0,565	0,045
23,3	0,565	0,04
23,4	0,56	0,045
23,5	0,565	0,04
23,601	0,57	0,045
23,7	0,57	0,045
23,8	0,57	0,045
23,901	0,575	0,045
24	0,575	0,045
24,099	0,575	0,045
24,2	0,575	0,045
24,3	0,575	0,045
24,4	0,585	0,04
24,504	0,58	0,045
24,6	0,585	0,045
24,7	0,585	0,045
24,8	0,585	0,04
24,9	0,585	0,045
25	0,59	0,04
25,1	0,59	0,045
25,201	0,585	0,04
25,3	0,59	0,05
25,4	0,595	0,045
25,5	0,595	0,045
25,6	0,595	0,045
25,701	0,595	0,045
25,8	0,6	0,045
25,9	0,6	0,04
26,001	0,6	0,045
26,101	0,61	0,045
26,2	0,605	0,045
26,3	0,605	0,04
26,401	0,605	0,045
26,501	0,605	0,045
26,601	0,605	0,045
26,701	0,61	0,04
26,8	0,61	0,04
26,901	0,615	0,045
27,001	0,615	0,04
27,101	0,615	0,045
27,201	0,615	0,045
27,307	0,615	0,045
27,4	0,615	0,045
27,501	0,62	0,045
27,601	0,62	0,04
27,707	0,625	0,045
27,801	0,62	0,045
27,901	0,63	0,045
28	0,625	0,045
28,101	0,63	0,045
28,201	0,63	0,04
28,3	0,63	0,045
28,401	0,635	0,045
28,501	0,63	0,045
28,6	0,635	0,045
28,7	0,64	0,04
28,801	0,635	0,045
28,901	0,64	0,045
29	0,64	0,04
29,101	0,635	0,045
29,201	0,64	0,045
29,301	0,645	0,045
29,401	0,645	0,04
29,501	0,645	0,045
29,601	0,65	0,04
29,701	0,645	0,04
29,801	0,655	0,045
29,901	0,65	0,045
30,013	0,655	0,045
30,101	0,655	0,045
30,201	0,66	0,045
30,301	0,66	0,045
30,401	0,655	0,045
30,5	0,655	0,05
30,601	0,66	0,045
30,701	0,66	0,045
30,801	0,665	0,04
30,9	0,665	0,045
31	0,665	0,045
31,1	0,67	0,045
31,2	0,67	0,04
31,3	0,67	0,045
31,4	0,67	0,045
31,5	0,67	0,04
31,6	0,675	0,04
31,7	0,675	0,04
31,8	0,68	0,045
