MIN=0	-10	-10
MAX=640	10	10
SCALE=640	5	5
DEC=1	2	2
DEF="Time" t / s	"Voltage" U_B1 / V	"Voltage" U_A1 / V
0	0,39	0,195
0,099	0,39	0,195
0,199	0,39	0,195
0,3	0,395	0,195
0,4	0,39	0,195
0,5	0,39	0,195
0,6	0,39	0,2
0,7	0,39	0,2
0,8	0,39	0,195
0,9	0,39	0,2
0,999	0,39	0,195
1,099	0,39	0,195
1,199	0,39	0,195
1,3	0,39	0,195
1,399	0,39	0,2
1,5	0,39	0,2
1,6	0,39	0,2
1,699	0,39	0,2
1,799	0,39	0,2
1,9	0,39	0,2
2	0,39	0,195
2,099	0,39	0,195
2,2	0,39	0,195
2,3	0,39	0,195
2,399	0,39	0,195
2,5	0,39	0,2
2,6	0,39	0,195
2,713	0,395	0,2
2,8	0,39	0,195
2,899	0,39	0,195
3	0,39	0,2
3,1	0,39	0,195
3,2	0,39	0,195
3,3	0,39	0,195
3,4	0,39	0,195
3,5	0,39	0,195
3,601	0,395	0,195
3,7	0,39	0,2
3,8	0,39	0,195
3,901	0,395	0,195
3,999	0,39	0,195
4,1	0,39	0,2
4,2	0,39	0,2
4,3	0,385	0,195
4,4	0,395	0,2
4,5	0,39	0,2
4,6	0,39	0,195
4,718	0,39	0,2
4,811	0,39	0,195
4,9	0,39	0,195
5,001	0,395	0,195
5,1	0,39	0,2
5,2	0,395	0,2
5,3	0,395	0,195
5,403	0,4	0,2
5,5	0,4	0,2
5,599	0,4	0,195
5,7	0,4	0,195
5,8	0,4	0,2
5,9	0,4	0,195
6	0,4	0,2
6,1	0,41	0,2
6,201	0,405	0,2
6,3	0,405	0,195
6,4	0,41	0,195
6,499	0,41	0,195
6,599	0,405	0,2
6,7	0,415	0,195
6,8	0,41	0,195
6,9	0,41	0,2
7	0,415	0,195
7,1	0,41	0,195
7,2	0,415	0,2
7,3	0,42	0,2
7,424	0,42	0,195
7,5	0,42	0,2
7,6	0,42	0,2
7,7	0,425	0,2
7,799	0,425	0,195
7,926	0,425	0,195
8,001	0,425	0,2
8,099	0,43	0,195
8,2	0,43	0,195
8,317	0,435	0,2
8,4	0,435	0,2
8,5	0,43	0,195
8,6	0,435	0,195
8,701	0,44	0,195
8,8	0,44	0,2
8,933	0,44	0,2
9	0,44	0,2
9,099	0,44	0,195
9,214	0,45	0,195
9,3	0,445	0,195
9,401	0,445	0,195
9,5	0,445	0,195
9,6	0,455	0,195
9,699	0,46	0,195
9,8	0,45	0,195
9,9	0,455	0,2
9,999	0,455	0,2
10,1	0,465	0,2
10,199	0,455	0,2
10,3	0,455	0,195
10,4	0,46	0,2
10,499	0,46	0,2
10,6	0,46	0,195
10,703	0,465	0,195
10,799	0,465	0,2
10,9	0,465	0,195
11,008	0,47	0,2
11,1	0,47	0,2
11,201	0,47	0,195
11,301	0,475	0,2
11,4	0,475	0,195
11,5	0,48	0,195
11,614	0,475	0,195
11,7	0,48	0,2
11,8	0,48	0,195
11,901	0,48	0,2
12,001	0,485	0,195
12,101	0,48	0,2
12,2	0,485	0,195
12,3	0,48	0,2
12,434	0,5	0,2
12,501	0,495	0,2
12,601	0,49	0,2
12,701	0,49	0,2
12,801	0,49	0,195
12,901	0,49	0,2
13,027	0,495	0,2
13,103	0,495	0,2
13,2	0,5	0,2
13,301	0,505	0,2
13,401	0,505	0,195
13,507	0,495	0,195
13,624	0,505	0,2
13,736	0,505	0,195
13,831	0,505	0,2
13,901	0,51	0,2
14,001	0,515	0,195
14,112	0,51	0,195
14,2	0,51	0,2
14,301	0,515	0,2
14,401	0,515	0,195
14,5	0,515	0,195
14,6	0,515	0,2
14,7	0,52	0,195
14,801	0,525	0,195
14,901	0,525	0,195
15	0,525	0,195
15,101	0,525	0,195
15,2	0,53	0,195
15,301	0,53	0,195
15,4	0,53	0,2
15,5	0,53	0,195
15,6	0,53	0,195
15,7	0,535	0,19
15,8	0,54	0,195
15,901	0,535	0,195
16,017	0,54	0,195
16,1	0,54	0,2
16,223	0,54	0,195
16,3	0,54	0,19
16,401	0,545	0,195
16,501	0,545	0,195
16,601	0,545	0,195
16,702	0,55	0,195
16,799	0,55	0,195
16,901	0,545	0,195
17,001	0,555	0,195
17,101	0,55	0,195
17,204	0,555	0,2
17,301	0,555	0,195
17,401	0,555	0,195
17,5	0,56	0,195
17,6	0,56	0,195
17,7	0,56	0,195
17,807	0,56	0,195
17,901	0,565	0,195
18	0,565	0,195
18,101	0,565	0,195
18,2	0,575	0,195
18,301	0,57	0,195
18,401	0,57	0,195
18,5	0,575	0,195
18,601	0,57	0,195
18,727	0,575	0,195
18,814	0,575	0,195
18,899	0,58	0,19
19,001	0,58	0,195
19,1	0,585	0,195
19,209	0,58	0,195
19,336	0,58	0,195
19,408	0,585	0,195
19,501	0,585	0,195
19,6	0,59	0,195
19,7	0,59	0,195
19,799	0,595	0,195
19,92	0,59	0,195
19,999	0,59	0,195
20,102	0,595	0,195
20,203	0,595	0,19
20,3	0,6	0,195
20,4	0,605	0,195
20,5	0,6	0,19
20,6	0,6	0,195
20,7	0,605	0,195
20,8	0,6	0,195
20,899	0,605	0,195
20,999	0,605	0,2
21,1	0,61	0,195
21,2	0,61	0,195
21,3	0,615	0,195
21,4	0,61	0,195
21,514	0,61	0,195
21,6	0,615	0,19
21,699	0,615	0,195
21,8	0,62	0,195
21,902	0,62	0,195
22,002	0,625	0,2
22,101	0,625	0,19
22,2	0,625	0,195
22,3	0,62	0,195
22,428	0,63	0,195
22,5	0,63	0,195
22,599	0,63	0,195
22,7	0,635	0,195
22,799	0,63	0,195
22,9	0,63	0,195
23	0,63	0,2
23,1	0,635	0,195
23,2	0,64	0,195
23,3	0,64	0,195
23,4	0,64	0,19
23,5	0,64	0,195
23,6	0,645	0,19
23,7	0,645	0,195
23,8	0,65	0,195
23,9	0,645	0,19
24,029	0,65	0,195
24,111	0,65	0,195
24,199	0,65	0,195
24,308	0,655	0,195
24,399	0,66	0,19
24,5	0,65	0,195
24,6	0,66	0,195
24,699	0,66	0,195
24,799	0,655	0,19
24,899	0,66	0,195
24,999	0,66	0,195
25,1	0,66	0,195
25,2	0,665	0,195
25,302	0,665	0,19
25,4	0,67	0,19
25,502	0,67	0,195
25,6	0,67	0,19
25,7	0,67	0,19
25,803	0,67	0,19
25,9	0,67	0,19
26	0,675	0,19
26,1	0,68	0,19
26,21	0,68	0,19
26,3	0,68	0,19
26,4	0,68	0,19
26,502	0,68	0,195
26,6	0,68	0,19
26,7	0,68	0,19
26,799	0,69	0,19
26,902	0,685	0,19
27	0,69	0,19
27,1	0,69	0,19
27,202	0,695	0,19
27,3	0,695	0,19
27,4	0,69	0,19
27,5	0,69	0,19
27,6	0,695	0,19
27,7	0,7	0,19
27,799	0,7	0,19
27,9	0,705	0,195
28	0,705	0,19
28,099	0,705	0,195
28,202	0,71	0,19
28,307	0,705	0,19
28,4	0,71	0,19
28,501	0,71	0,19
28,602	0,705	0,19
28,7	0,715	0,19
28,8	0,71	0,19
28,9	0,72	0,19
29	0,715	0,2
29,1	0,72	0,19
29,199	0,72	0,19
29,302	0,72	0,19
29,401	0,72	0,19
29,501	0,725	0,19
29,599	0,725	0,195
29,701	0,725	0,195
29,8	0,725	0,2
29,901	0,725	0,195
30	0,73	0,19
30,108	0,73	0,185
30,233	0,735	0,19
30,301	0,735	0,19
30,4	0,735	0,185
30,516	0,735	0,19
30,601	0,735	0,19
30,701	0,74	0,185
30,801	0,74	0,19
30,901	0,74	0,185
31,009	0,745	0,185
31,115	0,755	0,19
31,201	0,745	0,19
31,301	0,75	0,185
31,401	0,75	0,19
31,501	0,75	0,185
31,601	0,755	0,19
31,701	0,75	0,185
